"site","pft"
"1000004875","semiarid.grassland_HPDA"
"1000004876","semiarid.grassland_HPDA"
"1000004877","semiarid.grassland_HPDA"
"1000004878","semiarid.grassland_HPDA"
"1000004881","semiarid.grassland_HPDA"
"1000004882","semiarid.grassland_HPDA"
"1000004887","temperate.deciduous.HPDA"
"1000004889","boreal.coniferous"
"1000004890","boreal.coniferous"
"1000004891","boreal.coniferous"
"1000004900","boreal.coniferous"
"1000004901","boreal.coniferous"
"1000004902","temperate.deciduous.HPDA"
"1000004904","semiarid.grassland_HPDA"
"1000004905","semiarid.grassland_HPDA"
"1000004907","semiarid.grassland_HPDA"
"1000004908","temperate.deciduous.HPDA"
"1000004909","temperate.deciduous.HPDA"
"1000004911","temperate.deciduous.HPDA"
"1000004916","semiarid.grassland_HPDA"
"1000004918","semiarid.grassland_HPDA"
"1000004919","temperate.deciduous.HPDA"
"1000004920","semiarid.grassland_HPDA"
"1000004921","temperate.deciduous.HPDA"
"1000004922","temperate.deciduous.HPDA"
"1000004924","temperate.deciduous.HPDA"
"1000004925","semiarid.grassland_HPDA"
"1000004927","semiarid.grassland_HPDA"
"1000004928","boreal.coniferous"
"1000004929","semiarid.grassland_HPDA"
"1000004931","semiarid.grassland_HPDA"
"1000004933","semiarid.grassland_HPDA"
"1000004934","boreal.coniferous"
"1000004937","semiarid.grassland_HPDA"
"1000004940","temperate.deciduous.HPDA"
"1000004941","temperate.deciduous.HPDA"
"1000004943","temperate.deciduous.HPDA"
"1000004944","temperate.deciduous.HPDA"
"1000004945","temperate.deciduous.HPDA"
